locationid	Applicant	FacilityType	cnn	LocationDescription	Address	blocklot	block	lot	permit	Status	FoodItems	X	Y	Latitude	Longitude	Schedule	dayshours	NOISent	Approved	Received	PriorPermit	ExpirationDate	Location
498134	The Sandwich Stand, LLC.	Truck	8627000	MAIN ST: MARKET ST to MISSION ST (1 - 99)	50 MAIN ST	3711019	3711	19	13MFF-0132	REQUESTED		6013722.24	2116531.414	37.79236351	-122.396434	http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=13MFF-0132&ExportPDF=1&Filename=13MFF-0132_schedule.pdf				2013-11-20	0		(37.792363514411, -122.396434007976)
735318	Ziaurehman Amini	Push Cart	30727000	MARKET ST: DRUMM ST intersection	5 THE EMBARCADERO	234017	234	17	15MFF-0159	REQUESTED		6013916.72	2117244.027	37.794331	-122.3958111	http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=15MFF-0159&ExportPDF=1&Filename=15MFF-0159_schedule.pdf				2015-12-31	0	03/15/2016 12:00:00 AM	(37.7943310032468, -122.395811053023)
654243	Tacos Esmeralda	Truck	5336000	EVANS AVE: QUINT ST to RANKIN ST (1700 - 1799)	1700 EVANS AVE	5227001	5227	1	15MFF-0130	REQUESTED	Burritos: tacos: quesadillas: and tortas	6014950.929	2099216.653	37.74488929	-122.390972	http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=15MFF-0130&ExportPDF=1&Filename=15MFF-0130_schedule.pdf	Mo-We:7AM-4PM			2015-05-12	0		(37.744889286143, -122.390971976935)
364218	The Chai Cart	Push Cart	9543000	NEW MONTGOMERY ST: AMBROSE BIERCE ST to MISSION ST (77 - 99)	79 NEW MONTGOMERY ST	3707014	3707	14	12MFF-0083	SUSPEND	Hot Indian Chai (Tea)	6012504.312	2114926.774	37.7878897	-122.4005353	http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=12MFF-0083&ExportPDF=1&Filename=12MFF-0083_schedule.pdf	Mo-Su:7AM-6PM			2012-04-03	0		(37.7878896999061, -122.400535326777)
526132	Bach Catering	Truck	5118000	EGBERT AVE: NEWHALL ST to PHELPS ST (1800 - 1899)	1843 EGBERT AVE	5447053	5447	53	14MFF-0034	EXPIRED	Cold Truck: Cheeseburgers: Burgers: Chicken Bake: Chili Dogs: Hot Dogs: Corn Dogs: Cup of Noodles: Egg Muffins: Tamales: Hot Sandwiches Quesadillas: Gatorade: Juice: Soda: Mikl: Coffee: Hot Cocoa: Hot Tea: Flan: Fruits: Fruit Salad: Yogurt: Candy: Chips:  Donuts: Cookies: Granola: Muffins & Various Drinks & Pre-Packaged Snacks.	6011893.793	2092823.701	37.72716547	-122.4010939	http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=14MFF-0034&ExportPDF=1&Filename=14MFF-0034_schedule.pdf	Mo-Fr:10AM-11AM		03/13/2014 12:00:00 AM	2014-03-13	1	03/15/2015 12:00:00 AM	(37.7271654734939, -122.401093930725)
665242	The Whole Cart	Truck	10627000	POST ST: GRANT AVE to STOCKTON ST (200 - 299)	225 POST ST	309027	309	27	15MFF-0015	REQUESTED	Multiple Trucks	6011043.045	2115156.951	37.78844011	-122.4056073	http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=15MFF-0015&ExportPDF=1&Filename=15MFF-0015_schedule.pdf	Tu/Fr/Sa:5PM-9PM			2015-02-25	0		(37.788440109524, -122.405607286668)
509479	Sun Rise Catering	Truck	446000	09TH ST: LARKIN ST \ MARKET ST to JESSIE ST (1 - 55)	55 09TH ST	3701066	3701	66	14MFF-0001	EXPIRED	Cold Truck: sandwiches: drinks: snacks: candy: hot coffee	6008215.236	2111083.648	37.77709727	-122.4151027	http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=14MFF-0001&ExportPDF=1&Filename=14MFF-0001_schedule.pdf	Mo-Fr:9AM-11AM		09/10/2014 12:00:00 AM	2014-01-08	1	03/15/2015 12:00:00 AM	(37.7770972708968, -122.415102651361)
626192	Taza Halal Cart	Push Cart	8742203	MARKET ST: SUTTER ST to 02ND ST (560 - 574) -- NORTH --	572 MARKET ST	291013	291	13	15MFF-0026	INACTIVE	Gyro Sandwich: Chicken Sandwich: lamb over rice: chicken over rice: combination over rice	6012285.359	2115631.172	37.7898116	-122.4013424	http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=15MFF-0026&ExportPDF=1&Filename=15MFF-0026_schedule.pdf	Mo-We:10AM-9PM			2015-03-02	0		(37.789811597719, -122.401342389334)
509482	Sun Rise Catering	Truck	9298000	MONTGOMERY ST: SUTTER ST to BUSH ST (100 - 199)	180 MONTGOMERY ST	289009	289	9	14MFF-0001	EXPIRED	Cold Truck: sandwiches: drinks: snacks: candy: hot coffee	6012111.167	2115971.308	37.79073581	-122.401969	http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=14MFF-0001&ExportPDF=1&Filename=14MFF-0001_schedule.pdf	Mo-Fr:1PM-2PM		09/10/2014 12:00:00 AM	2014-01-08	1	03/15/2015 12:00:00 AM	(37.790735810536, -122.40196900168)
526147	Cheese Gone Wild	Truck	106000	01ST ST: NATOMA ST to HOWARD ST (165 - 199)	400 HOWARD ST	3720008	3720	8	14MFF-0035	EXPIRED	Grilled Cheese Sandwiches	6013858.06	2115347.095	37.78911921	-122.395881	http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=14MFF-0035&ExportPDF=1&Filename=14MFF-0035_schedule.pdf	Tu:10AM-3PM		03/13/2014 12:00:00 AM	2014-03-13	0	03/15/2015 12:00:00 AM	(37.7891192076677, -122.395881039335)
638845	Plaza Garibaldy	Truck	9546000	NEW MONTGOMERY ST: NATOMA ST to HOWARD ST (158 - 199)	180 NEW MONTGOMERY ST	3722022	3722	22	15MFF-0114	INACTIVE	Tacos: burritos: quesadillas	6012785.32	2114324.261	37.78625101	-122.3995208	http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=15MFF-0114&ExportPDF=1&Filename=15MFF-0114_schedule.pdf	We/Th/Fr:11AM-3PM			2015-04-06	0		(37.7862510074437, -122.399520766943)
526127	Bach Catering	Truck	13784000	YOSEMITE AVE: LANE ST to MENDELL ST (1700 - 1799)	1760 YOSEMITE AVE	5414020	5414	20	14MFF-0034	EXPIRED	Cold Truck: Cheeseburgers: Burgers: Chicken Bake: Chili Dogs: Hot Dogs: Corn Dogs: Cup of Noodles: Egg Muffins: Tamales: Hot Sandwiches Quesadillas: Gatorade: Juice: Soda: Mikl: Coffee: Hot Cocoa: Hot Tea: Flan: Fruits: Fruit Salad: Yogurt: Candy: Chips:  Donuts: Cookies: Granola: Muffins & Various Drinks & Pre-Packaged Snacks.	6013838.475	2093363.33	37.72875548	-122.3944089	http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=14MFF-0034&ExportPDF=1&Filename=14MFF-0034_schedule.pdf	Mo-Fr:9AM-10AM		03/13/2014 12:00:00 AM	2014-03-13	1	03/15/2015 12:00:00 AM	(37.7287554795043, -122.394408901501)
